sgRNA	Gene	Input1_DOI_rep1	Input1_DOI_rep2	Input1_DOI_rep3	AR2466_SP	AR2467_SP	AR2468_SP	AR2469_SP
BRDN0007696756	BRDN0007696756_NegCtrl	710.3549403299236	673.8546432588843	638.5442791117013	1098.8861103229308	904.1570041574677	1126.594453600937	447.9870857353214
BRDN0007696755	BRDN0007696755_NegCtrl	536.7700240020295	563.265806837842	621.1371544816616	345.73521639406835	615.3053336421331	797.7233181934778	467.5498405709249
BRDN0007696754	BRDN0007696754_NegCtrl	685.040473365439	636.9916977852034	674.6322204178812	620.0509514672963	652.9073262535967	337.303728623035	592.7514715187876
BRDN0007696753	BRDN0007696753_NegCtrl	766.666713781532	705.8025293360741	724.3062102157994	636.2826517674872	724.6929485118455	617.2658233801541	674.9150418283226
BRDN0007696752	BRDN0007696752_NegCtrl	572.416926462222	612.4164008027496	591.8422374213508	594.0802309869906	897.3202782281106	443.554403139291	414.73040251479534
BRDN0007696751	BRDN0007696751_NegCtrl	428.2794512970957	374.0360200729474	445.79221613516376	496.69002918584465	417.04028169077907	607.146711521463	348.21703607374326
BRDN0007696750	BRDN0007696750_NegCtrl	615.2965337694102	576.5364672083671	515.4207146553227	767.7594241990344	731.5296744412026	866.8705825612	694.4777966639261
BRDN0007696749	BRDN0007696749_NegCtrl	487.6909553974166	457.10052387364135	519.2417907936241	506.42904936595926	331.58120757381613	659.4287894580334	326.69800575457936
BRDN0007696748	BRDN0007696748_NegCtrl	519.2048836593259	498.3870228041638	437.30093582782735	335.99619621395374	468.3157261609568	425.0026980650241	948.7936095267723
BRDN0007696747	BRDN0007696747_NegCtrl	734.119541970052	796.7311281711534	847.429774672178	751.5277238988433	1030.6364338505728	900.6009554235035	1079.8640669253161
BRDN0007696746	BRDN0007696746_NegCtrl	286.208463231111	305.2251885220767	316.3001914482829	48.695100900573	203.39259639837175	156.8462338097113	248.44698641216513
BRDN0007696745	BRDN0007696745_NegCtrl	984.6811027409703	903.8794230146522	993.479795958365	1025.8434589720712	885.3560078517359	770.739019903635	672.9587663447622
BRDN0007696744	BRDN0007696744_NegCtrl	659.209384626169	689.5828333276546	680.1515526176498	1019.3507788519948	652.9073262535967	485.7173692171704	631.8769811899948
BRDN0007696743	BRDN0007696743_NegCtrl	759.9506307093219	647.8048284574832	724.3062102157994	642.7753318875637	673.4175040416678	836.5132469851268	849.0235598651942
BRDN0007696742	BRDN0007696742_NegCtrl	775.9659057276692	679.7527145346731	683.5480647405844	857.0337758500848	601.631881783419	664.488345387379	792.2915708419439
BRDN0007696741	BRDN0007696741_NegCtrl	691.2399346628638	687.1253036294092	716.2394939238299	969.0325079214027	991.3252597567698	789.290724977902	980.094017263738
BRDN0007696740	BRDN0007696740_NegCtrl	847.7763324228397	915.6755655662299	851.2508508104794	962.5398278013264	1078.493515356072	1185.622606109968	1586.5394171674482
BRDN0007696739	BRDN0007696739_NegCtrl	662.8257370496668	717.598671887652	714.1166738469957	1035.582479152186	781.0959374290411	1261.515945050151	999.6567720993415
BRDN0007696738	BRDN0007696738_NegCtrl	555.8850296690892	598.1627285529264	610.0984900821242	1035.582479152186	466.6065446786175	699.9052368927977	753.1660611707368
BRDN0007696737	BRDN0007696737_NegCtrl	536.2534022272441	540.6565336139844	508.2031263940867	288.92426534339984	305.94348533872727	193.94964395824513	279.7473941491308
BRDN0007696736	BRDN0007696736_NegCtrl	539.3531328759565	632.5681443283618	633.8740749426662	357.09740660420204	781.0959374290411	419.9431421356786	627.9644302228741
BRDN0007696735	BRDN0007696735_NegCtrl	377.1338955933412	431.54221501188937	416.92186309021986	392.80714726462224	348.6730223972087	347.42284048172604	322.7854547874586
BRDN0007696734	BRDN0007696734_NegCtrl	488.207577172202	489.04840995083134	526.0348150394933	249.9681846229414	287.1424890329954	317.0655049056529	340.3919341395018
BRDN0007696733	BRDN0007696733_NegCtrl	512.4888005871157	576.0449612687179	528.1576351163274	740.1655336887096	440.96882244352867	445.24092178240625	698.3903476310469
BRDN0007696732	BRDN0007696732_NegCtrl	439.1285085675891	497.8955168645147	499.71184608675026	543.7619600563985	589.6676114070441	556.5511522280078	502.76279927501133
BRDN0007696731	BRDN0007696731_NegCtrl	833.3109227288485	755.9361351802801	759.9695875066126	551.877810206494	762.2949411233093	1393.0643992131347	747.2972347200557
BRDN0007696730	BRDN0007696730_NegCtrl	660.2426281757398	653.702899733272	607.1265419745564	633.036311707449	399.94846686738646	350.7958777679564	383.4299947778296
BRDN0007696729	BRDN0007696729_NegCtrl	740.8356250422621	694.0063867844964	710.7201617240611	391.1839772346031	422.1678261377968	632.4444911681907	393.21137219563144
BRDN0007696728	BRDN0007696728_NegCtrl	914.4205413701561	770.1898074301032	912.3880690233019	676.8619025179647	1343.416645118657	1301.9923924849152	946.837334043212
BRDN0007696727	BRDN0007696727_NegCtrl	987.7808333896828	988.4184446342933	964.1848788980542	1158.9434014336375	693.9276818297388	1018.6572604415658	1056.3887611225919
BRDN0007696726	BRDN0007696726_NegCtrl	656.1096539774567	615.3654364406441	661.8952999568766	381.4449570544885	574.2849780659908	497.5229997189766	604.4891244201498
BRDN0007696725	BRDN0007696725_NegCtrl	676.2579031940872	573.0959256308234	567.6420885454419	318.1413258837436	608.468607712776	620.6388606663844	608.4016753872705
BRDN0007696724	BRDN0007696724_NegCtrl	573.9667917865783	628.6360968111692	641.0916632039022	423.64737783498515	223.90277418644285	485.7173692171704	401.03647412987283
BRDN0007696723	BRDN0007696723_NegCtrl	895.3055357030963	917.6415893248263	886.4896640859257	1210.8848423942486	1683.5437601041695	1801.201910847007	2263.410734479331
BRDN0007696722	BRDN0007696722_NegCtrl	957.8167704521296	1019.8748247718343	1042.7292217409165	1219.0006925443442	1230.6106672842661	1256.4563891208054	1199.196871422498
BRDN0007696721	BRDN0007696721_NegCtrl	615.2965337694102	635.0256740266071	711.1447257394279	503.18270930592104	567.4482521366338	807.8424300521689	708.1717250488487
BRDN0007696720	BRDN0007696720_NegCtrl	861.20849856726	870.948525058164	897.1037644700963	730.426513508595	731.5296744412026	875.3031757767759	888.1490695364013
BRDN0007696719	BRDN0007696719_NegCtrl	616.329777318981	637.4832037248525	698.4078052784232	980.3946981315364	666.5807781123108	549.805077655547	935.0996811418498
BRDN0007696718	BRDN0007696718_NegCtrl	658.6927628513837	708.7515649739687	629.2038707736311	954.4239776512309	497.37181136072417	689.7861250341066	743.384683752935
BRDN0007696717	BRDN0007696717_NegCtrl	1065.790721382278	1121.125048339544	1051.6450660636197	972.278847981441	1396.401271071174	974.8077757205712	1021.1758024185054
BRDN0007696716	BRDN0007696716_NegCtrl	549.6855683716644	529.3518970020557	551.0840919461358	223.9974641426358	478.57081505499235	220.93394224808793	340.3919341395018
BRDN0007696715	BRDN0007696715_NegCtrl	819.8787565844282	831.6280498862378	813.4646534428322	310.02547573364814	379.4382890793154	413.1970675632179	786.4227443912629
BRDN0007696714	BRDN0007696714_NegCtrl	930.4358163885036	870.457019118515	814.7383454889326	529.1534297862266	564.0298891719552	561.6107081573533	882.2802430857203
BRDN0007696713	BRDN0007696713_NegCtrl	852.9425501706936	807.5442588434331	918.3319652384374	1318.0140643755092	1052.8557931209832	1128.2809722440522	811.8543256775474
BRDN0007696712	BRDN0007696712_NegCtrl	587.3989579309986	518.0472603901269	548.5367078539349	267.82305495315154	456.35145578458196	278.2755761140039	526.2381050777356
BRDN0007696711	BRDN0007696711_NegCtrl	499.5732562174808	562.7743008981929	539.1962995158648	585.9643808368951	743.4939448175774	320.43854219188324	369.73606639290716
BRDN0007696710	BRDN0007696710_NegCtrl	953.6837962538465	916.6585774455281	974.7989792822248	873.2654761502758	827.2438374522011	841.5728029144724	1353.742634623766
BRDN0007696709	BRDN0007696709_NegCtrl	905.121349424019	883.2361735493909	835.9665462572738	594.0802309869906	876.8101004400395	497.5229997189766	1050.5199346719107
BRDN0007696708	BRDN0007696708_NegCtrl	530.5705627046048	588.8241156995939	530.2804551931615	686.6009226980793	413.62191872610055	548.1185590124319	467.5498405709249
BRDN0007696707	BRDN0007696707_NegCtrl	804.3801033408662	803.1207053865913	848.7034667182785	631.41314167743	1035.7639782975905	710.0243487514887	1013.350700484264
BRDN0007696706	BRDN0007696706_NegCtrl	793.5310460703728	842.9326864981666	782.4714803210542	662.2533722477929	497.37181136072417	939.3908842151525	537.9757579790977
BRDN0007696705	BRDN0007696705_NegCtrl	485.1078465234896	464.9646189080266	460.6519566730026	397.67665735467955	471.7340891256353	360.91498962664747	518.4130031434942
BRDN0007696704	BRDN0007696704_NegCtrl	658.1761410765982	738.2419213529132	682.274372694484	486.95100900573004	1037.4731597799298	239.48564732235485	610.3579508708309
BRDN0007696703	BRDN0007696703_NegCtrl	509.38906993840334	538.6905098553881	503.1083582096848	357.09740660420204	312.78021126808426	640.8770843837665	297.353873501174
BRDN0007696702	BRDN0007696702_NegCtrl	782.6819887998794	777.0708905851903	769.7345598600494	925.206917110887	1078.493515356072	1195.741717968659	960.5312624281345
BRDN0007696701	BRDN0007696701_NegCtrl	666.4420894731646	667.9565719830953	676.7550404947153	904.1057067206388	664.8715966299715	1097.923636667979	1398.736970745654
BRDN0007696700	BRDN0007696700_NegCtrl	424.66309887359796	382.3916210469817	391.44802216821046	389.560807204584	357.218929808905	148.41364059413542	311.04780188609647
BRDN0007696699	BRDN0007696699_NegCtrl	818.8455130348573	876.3550903943038	911.963505007935	678.4850725479838	818.6979300405047	1045.6415587314086	1048.5636591883504
BRDN0007696698	BRDN0007696698_NegCtrl	778.0323928268108	722.0222253444937	717.0886219545635	1094.0166002328735	876.8101004400395	893.8548808510428	917.4932017898067
BRDN0007696697	BRDN0007696697_NegCtrl	914.4205413701561	838.509133041325	863.5632072561173	636.2826517674872	1087.0394227677684	807.8424300521689	702.3028985981675
BRDN0007696696	BRDN0007696696_NegCtrl	736.7026508439789	651.7368759746757	673.7830923871476	818.0776951296265	687.0909559003819	1042.2685214451783	894.0178959870824
BRDN0007696695	BRDN0007696695_NegCtrl	567.250708714368	599.1457404322246	573.1614207452105	334.3730261839346	480.2799965373316	570.0433013729291	1267.6665133471101
BRDN0007696694	BRDN0007696694_NegCtrl	710.8715621047089	580.4685147255597	617.740642358727	460.98028852542444	586.2492484423656	497.5229997189766	563.4073392653823
