sgRNA	Gene	Input1_DOI_rep1	Input1_DOI_rep2	Input1_DOI_rep3	amCD19_1to2rep1	amCD19_1to2rep2	amCD19_1to2rep3
BRDN0007696760	BRDN0007696760_NegCtrl	1437.7291136172837	1497.5486414518311	1510.177490906872	1645.5384459502336	1690.569031718701	1603.8229615730124
BRDN0007696759	BRDN0007696759_NegCtrl	1203.4488891077801	1112.9264364170801	1186.8304855545489	1014.3209253777582	1052.322935204171	1029.480955063758
BRDN0007696758	BRDN0007696758_NegCtrl	1317.2737151666427	1476.0011789848982	1383.410767217609	1975.4066381771147	1763.986910918992	1769.32803377465
BRDN0007696757	BRDN0007696757_NegCtrl	1202.3437937091503	1282.074016782503	1176.725891637289	1602.7601501283038	1706.231512614763	1719.0854225705814
BRDN0007696756	BRDN0007696756_NegCtrl	1519.506173115884	1477.0785521082448	1381.5735683235616	1100.8281458176607	1146.2978205805437	1142.7731175827362
BRDN0007696755	BRDN0007696755_NegCtrl	1148.1941191762935	1234.6695993552507	1343.910990995592	1093.2231154493177	1217.757889668827	1170.357296283009
BRDN0007696754	BRDN0007696754_NegCtrl	1465.3564985830271	1396.2755678572469	1459.6545213205713	2334.744323081325	2208.4098063447536	2214.615489936199
BRDN0007696753	BRDN0007696753_NegCtrl	1639.961571566525	1547.1078051257766	1567.130656622338	2082.8276921299607	1912.7804794315819	2019.5559405556974
BRDN0007696752	BRDN0007696752_NegCtrl	1224.445701681745	1342.4069116899148	1280.5276291509608	1590.4019757797464	1515.3450266940065	1579.194230590626
BRDN0007696751	BRDN0007696751_NegCtrl	916.1240854640494	819.8809468667938	964.529419374827	792.824415899766	787.0396650271197	821.6144655724155
BRDN0007696750	BRDN0007696750_NegCtrl	1316.168619768013	1263.75867368561	1115.1797286867047	1043.7904180550877	944.6433790437443	917.1739417840753
BRDN0007696749	BRDN0007696749_NegCtrl	1043.2100563064687	1001.9570047123761	1123.4471237099174	1078.0130547126314	1131.6142447404854	1065.9314769176901
BRDN0007696748	BRDN0007696748_NegCtrl	1110.6208756228825	1092.456347073494	946.1574304343541	892.6404394842689	913.3184172516202	812.7481224187563
BRDN0007696747	BRDN0007696747_NegCtrl	1570.3405614528517	1746.4218329449052	1833.5244962591948	1367.0042087096683	1365.5725531254127	1341.7732639204194
BRDN0007696746	BRDN0007696746_NegCtrl	612.2228508408725	669.048709598264	684.3565880326153	473.41314042935664	375.89954150549	437.4062622471852
BRDN0007696745	BRDN0007696745_NegCtrl	2106.3118297882725	1981.2891738344729	2149.5227060353286	2222.5701251482647	2341.540893961281	2294.412578319131
BRDN0007696744	BRDN0007696744_NegCtrl	1410.1017286515403	1511.5544920553373	1471.596314131879	1976.3572669731577	2158.485648488556	2031.377731427243
BRDN0007696743	BRDN0007696743_NegCtrl	1625.5953313843384	1419.977776570873	1567.130656622338	1781.4783637843661	1881.4555176394576	1811.689451064355
BRDN0007696742	BRDN0007696742_NegCtrl	1659.8532887418603	1490.0070295884045	1478.945109708068	2420.300914725185	2404.1908175455296	2386.0314575736093
BRDN0007696741	BRDN0007696741_NegCtrl	1478.617643366584	1506.1676264386042	1549.6772671288886	1182.5822222773488	1058.1963655401944	1104.352297250213
BRDN0007696740	BRDN0007696740_NegCtrl	1813.4615491513932	2007.1461287947923	1841.7918912824077	3179.85332276345	2964.124509579749	3045.0962986622735
BRDN0007696739	BRDN0007696739_NegCtrl	1417.8373964419486	1572.964760086096	1545.0842698937704	1754.8607574951654	1722.872898566829	1678.6943037594676
BRDN0007696738	BRDN0007696738_NegCtrl	1189.0826489255935	1311.163091112862	1320.0274053729775	1970.6534941969003	1760.0712906949764	1895.4271364044691
BRDN0007696737	BRDN0007696737_NegCtrl	1147.0890237776637	1185.110435681305	1099.5635380873027	1485.832808215029	1498.7036407419405	1456.0505756786931
BRDN0007696736	BRDN0007696736_NegCtrl	1153.7195961694422	1386.579209747127	1371.4689744063016	1608.4639229045613	1482.0622547898745	1620.5704986410353
BRDN0007696735	BRDN0007696735_NegCtrl	806.7196409997057	945.9336022983508	902.0646569772191	1328.0284280719102	1133.5720548524932	1198.9266242225774
BRDN0007696734	BRDN0007696734_NegCtrl	1044.3151517050985	1071.9862577299077	1138.1447148622958	1201.5947981982065	1101.2681880043651	1172.3275947616
BRDN0007696733	BRDN0007696733_NegCtrl	1096.254635440696	1262.6813005622632	1142.737712097414	1169.2734191327484	1155.1079660845785	1221.585056726373
BRDN0007696732	BRDN0007696732_NegCtrl	939.3310888352737	1091.3789739501474	1081.1915491468299	1059.0004787917737	954.4324296037831	972.3422991846212
BRDN0007696731	BRDN0007696731_NegCtrl	1782.5188779897608	1656.999863707134	1644.293010172324	1679.7610826077776	1696.4424620547243	1886.56079325081
BRDN0007696730	BRDN0007696730_NegCtrl	1412.3119194488	1432.9062540510326	1313.597209243812	706.3171954598635	556.0180718102039	626.5549161919139
BRDN0007696729	BRDN0007696729_NegCtrl	1584.7068016350383	1521.2508501654572	1537.7354743175813	939.2212504903703	946.6011891557521	972.3422991846212
BRDN0007696728	BRDN0007696728_NegCtrl	1956.0188555746288	1688.2436842841864	1974.0702116538125	2075.2226617616175	2167.2957939925905	2036.3034776237203
BRDN0007696727	BRDN0007696727_NegCtrl	2112.942402180051	2166.5973510500953	2086.139344190697	1708.279946489064	2047.8693771601172	2005.763851205561
BRDN0007696726	BRDN0007696726_NegCtrl	1403.471156259762	1348.8711504299945	1432.096537909862	1474.4252626625143	1490.8724002939093	1343.7435623990104
BRDN0007696725	BRDN0007696725_NegCtrl	1446.5698768063216	1256.2170618221835	1228.167460670613	1198.7429118100779	1296.0702941491372	1190.0602810689184
BRDN0007696724	BRDN0007696724_NegCtrl	1227.7609878776343	1377.9602247603539	1387.0851650057034	856.5165452346392	953.4535245477792	913.2333448268935
BRDN0007696723	BRDN0007696723_NegCtrl	1915.1303258253288	2011.455621288179	1918.0356453853701	2528.672597474074	2588.224968074259	2477.6503368280873
BRDN0007696722	BRDN0007696722_NegCtrl	2048.8468690595264	2235.54923094428	2256.080241890071	1998.221729282144	2022.4178457040164	2182.1055650394487
BRDN0007696721	BRDN0007696721_NegCtrl	1316.168619768013	1391.9660753638602	1538.6540737646048	1254.830010776608	1238.3148958449083	1263.946474016078
BRDN0007696720	BRDN0007696720_NegCtrl	1842.1940295157663	1909.105174570248	1941.0006315609612	2546.7345445988885	2421.8111085535993	2412.6304870345866
BRDN0007696719	BRDN0007696719_NegCtrl	1318.3788105652725	1397.3529409805935	1511.0960903538955	994.3577206608576	1129.6564346284777	1029.480955063758
BRDN0007696718	BRDN0007696718_NegCtrl	1408.9966332529107	1553.5720438658564	1361.3643804890414	1149.310214415848	1255.9351868529782	1302.367294348601
BRDN0007696717	BRDN0007696717_NegCtrl	2279.8118073731407	2457.488094353688	2275.370830277568	2066.6670025972317	1992.071788967896	2165.358027971426
BRDN0007696716	BRDN0007696716_NegCtrl	1175.8215041420367	1160.3308538443323	1192.3420822366909	417.3260414628265	432.676034753715	498.48551508350386
BRDN0007696715	BRDN0007696715_NegCtrl	1753.7863976253875	1822.9153247025167	1760.0365404973033	1725.391264817836	1548.6277985981383	1543.7288579759893
BRDN0007696714	BRDN0007696714_NegCtrl	1990.2768129321507	1908.0278014469013	1762.7923388383742	1928.8258271710133	2186.8738951126684	2131.8629538353803
BRDN0007696713	BRDN0007696713_NegCtrl	1824.5125031376906	1770.1240416585313	1986.9306039121434	1956.394062256257	1991.0928839118922	1902.3231810795373
BRDN0007696712	BRDN0007696712_NegCtrl	1256.4934682420073	1135.5512720073596	1186.8304855545489	833.70145412961	841.8583481633369	839.3471518797338
BRDN0007696711	BRDN0007696711_NegCtrl	1068.6272504749527	1233.592226231904	1166.6212977200287	835.6027117216958	884.9301706275077	925.055135698439
BRDN0007696710	BRDN0007696710_NegCtrl	2040.0061058704887	2009.3008750414856	2109.104330366288	2299.5710576277384	2018.5022254800008	2023.4965375128793
BRDN0007696709	BRDN0007696709_NegCtrl	1936.1271383992937	1936.039502653914	1808.7223111895564	1439.2519972089276	1276.4921930290598	1372.3128903385789
BRDN0007696708	BRDN0007696708_NegCtrl	1134.9329743927367	1290.693001769276	1147.3307093325323	1219.6567453230214	1134.5509599084971	978.253194620394
BRDN0007696707	BRDN0007696707_NegCtrl	1720.6335356664956	1760.4276835484116	1836.2802946002657	1882.245016164912	2127.1606866964316	2042.214373059493
