sgRNA	Gene	Input1_DOI_rep1	Input1_DOI_rep2	Input1_DOI_rep3	AR2480_SP	AR2481_SP	AR2482_SP	AR2483_SP
BRDN0007695755	Pax9	626.8205614575894	715.9342092513291	659.9671221855883	990.9794613739151	1024.5196652186298	712.2929289150625	343.99788987484646
BRDN0007695754	Pax9	703.935985794806	756.8331657753022	835.6368676525246	480.10185085195883	857.7884134914011	538.7226979610473	842.2017303832448
BRDN0007695753	Pax9	608.6757557311855	669.3660904369044	606.577297582892	285.1887062753089	366.3699873479897	638.607453510056	540.9070268376896
BRDN0007695752	Pax9	538.1584425672067	557.1976651186815	586.5991696670443	1132.547955855903	1151.7619362736204	564.9219781050496	533.789829116141
BRDN0007696347	Pate1	573.2109081750324	523.587631539575	599.6882879567376	531.3947836352878	930.1848780571715	844.9267846440741	918.1185060797627
BRDN0007696405	Parm1	722.0807915212099	635.756056857798	704.7456847555917	558.0671086826188	263.2598711482561	836.7395095990734	1072.3244567133145
BRDN0007694239	Paqr6	741.0503611442685	753.5936444664726	792.9250079703676	826.8420764672625	1513.7442591024724	1174.055241453103	975.0560878521511
BRDN0007694238	Paqr6	778.9895003903858	856.8533861854143	788.791602194675	767.342274438601	958.7046974315659	1637.4550090001437	1587.1350919053261
BRDN0007694237	Paqr6	596.7166792296921	670.9858510913192	608.6440004707383	270.8266850959768	741.5153037342546	394.6266571690346	740.188563041049
BRDN0007694236	Paqr6	546.406081533754	521.1579905579529	579.0212590782745	1477.2364641598733	1127.6297814183636	1594.8811787661398	1584.76269266481
BRDN0007694235	Paqr6	734.4522499710308	747.1146018488134	780.5247906432897	617.5669107112805	1616.854375302206	632.0576334740555	778.146950889308
BRDN0007694234	Paqr6	471.35256693817416	509.4147258134457	515.2979200363466	356.9988121719694	570.3963874878882	607.4958083390533	291.80510658349044
BRDN0007695751	Pam16	259.80062744623774	293.1766784490737	261.43791531255823	157.98223297265312	8.775329038275203	88.42257048600776	237.23992405161826
BRDN0007695750	Pam16	447.8467958835146	420.3278898206333	425.0518939337244	402.1365930212989	914.8280522401899	618.9579934020543	287.0603081024581
BRDN0007695749	Pam16	538.5708245155341	512.6542471222753	532.5204441017326	514.9810451446225	298.3611873013569	168.6578659270148	104.38556658271204
BRDN0007695748	Pam16	447.8467958835146	369.71036937017163	393.0179991721066	426.75720075729674	390.50214220324654	340.5906418720299	771.0297531677594
BRDN0007695747	Pam16	465.99160160991846	479.0442135431688	410.58497371880026	371.3608333513015	243.51538081213687	237.43097630502083	272.825912659361
