sgRNA	Gene	pDNA_CP1704	AR2466_BM	AR2466_SP	AR2467_BM	AR2467_SP	AR2468_BM	AR2468_SP	AR2469_BM	AR2469_SP	AR2473_BM	AR2473_SP	AR2474_BM	AR2474_SP	AR2475_BM	AR2475_SP	AR2476_BM	AR2476_SP	AR2480_BM	AR2480_SP	AR2481_BM	AR2481_SP	AR2482_BM	AR2482_SP	AR2483_BM	AR2483_SP	ahEGFRv3_1to10rep1	ahEGFRv3_1to10rep2	ahEGFRv3_1to10rep3	ahEGFRv3_1to2rep1	ahEGFRv3_1to2rep2	ahEGFRv3_1to2rep3	amCD19_1to10rep1	amCD19_1to10rep2	amCD19_1to10rep3	NoCAR_T_rep1	NoCAR_T_rep2	NoCAR_T_rep3	amCD19_1to2rep1	amCD19_1to2rep2	amCD19_1to2rep3	Input1_DOI_rep1	Input1_DOI_rep2	Input1_DOI_rep3	Input2_ACT_rep1	Input2_ACT_rep2	Input2_ACT_rep3
BRDN0007694634	Tmprss7	508.1906569	323.6885168	429.0247926	902.8376078	754.6830958	752.277255	972.1436401	473.9186015	491.0917073	1125.137865	2933.313503	726.2446916	432.7239279	390.7235062	1381.758748	621.7064521	1074.649716	666.1987891	551.0170127	1090.048274	468.1576327	526.6836201	888.6223647	978.5396151	1217.033906	595.8744432	581.8257937	557.1119774	672.5184984	745.7633899	689.7616513	710.4584434	771.9047141	744.562374	732.0647588	741.0534424	724.2635027	828.8564341	851.6533485	861.0885687	577.4560289	632.7156264	580.2170064	635.1928511	653.9973591	615.0239011
BRDN0007694633	Tmprss7	349.8242662	176.5573728	321.2070437	161.573397	252.3621817	377.5742711	686.7649581	373.7605465	378.4933325	155.437297	742.0845355	229.035252	499.6118537	416.1552137	381.1748271	764.990361	687.2525806	529.2391395	705.71895	88.79076058	374.5261061	412.8431501	994.0759681	756.4501564	888.9815052	436.1252093	482.3998669	469.2422834	475.098802	439.4850746	440.4502111	404.4818622	447.9339097	411.699195	419.8324142	410.532177	396.5761596	510.1591566	444.448832	471.5856569	342.382257	391.7141749	366.5294586	429.3638087	373.7127766	425.9407457
BRDN0007694632	Tmprss7	390.7454324	330.3762961	1093.900911	1017.542386	639.317527	503.9109094	1794.637484	466.5899633	367.640477	571.8381292	6457.667786	79.72746115	253.901106	18.49578728	57.17622407	149.355261	392.4282671	441.3144263	328.5243388	428.840482	261.7861048	787.2822863	688.9635423	180.3635604	149.8510965	532.170761	500.8120756	548.0532461	428.9727047	469.6267501	450.6073438	520.4217064	553.1462931	540.1727027	473.6324489	519.118414	550.1796017	390.2291401	360.9594913	358.916946	439.2828958	383.3798307	452.1209287	483.5875887	437.6373306	497.890196
BRDN0007694631	Tmprss7	456.1897525	1123.546918	576.1510959	860.9025277	516.7416102	353.1683296	455.9098455	357.8818305	522.2936667	504.8147076	1234.618519	411.6836176	642.9431232	1068.131715	257.2930083	883.9888616	474.9388259	1929.271113	399.7915234	56.67495356	194.906443	614.4642234	677.7151579	218.0514686	583.2042676	551.771894	565.2548059	582.4764252	553.5131674	538.6609101	534.634533	519.5499782	550.0211728	521.6803038	557.2146458	536.2636093	592.0714495	618.2179279	598.0816336	574.5792153	473.7364563	532.3562323	432.0331347	510.4228267	508.6304649	473.7151807
BRDN0007694630	Tmprss7	480.2697168	171.2071494	295.375708	423.0509556	323.2639375	821.1881486	419.9474913	417.7323755	487.0218866	175.4017204	507.8572632	37.68934527	128.3156127	36.99157455	285.8811204	492.9937882	343.1231772	206.2849042	408.4826435	160.5790351	458.6033953	1174.06557	261.5249365	394.3770388	550.8040305	297.9372216	315.7693786	336.9848058	345.9457296	296.5551942	325.028248	260.6467173	333.3461653	264.7332885	270.9216037	239.0802237	284.8645653	288.258187	306.6448645	318.343726	407.7004654	453.1799629	426.7928406	366.0105148	336.5258967	328.3772911
BRDN0007696123	Tmem94	530.2024034	813.2339596	995.0679745	1387.557799	1228.162618	5914.8517	1207.639056	758.5140503	770.5527342	8379.353734	1068.251485	3070.232049	836.781602	2182.502899	1429.405602	1645.336411	1722.65947	740.5966234	641.4046614	1615.236177	613.3820412	898.3796124	1070.002563	2778.137229	1352.709899	493.9485516	522.906726	464.7129177	455.7258411	502.6853619	485.6956206	544.8300946	491.6855939	524.6001563	519.7467645	518.1659032	488.7382248	510.7679385	549.6640234	553.0441985	522.5456669	565.6936089	547.6107321	485.5241523	502.7912028	509.6899059
BRDN0007696122	Tmem94	450.7237483	196.6207106	507.6419012	789.3662145	926.5297243	380.4455584	682.1246544	801.2644396	375.7801186	329.4129872	1260.886998	694.3537071	921.415304	610.3609801	266.822379	268.3537616	367.272609	344.9354136	601.4255091	2956.543411	1079.628826	204.3642172	1833.486651	150.7516326	498.1536453	280.2962019	287.2304551	310.714485	276.7565837	295.5828821	297.3269769	373.0996488	358.3471277	378.6075339	344.8966515	327.6637329	261.5913165	278.517678	288.3330761	259.3565062	309.7231529	337.5409379	365.9472037	300.7206573	279.6699233	279.4516649
BRDN0007696121	Tmem94	485.1448016	2339.38519	2776.307035	2005.483539	2282.075158	4407.425903	1243.601411	1336.255026	1383.739065	2944.752461	1422.875953	829.165596	1089.317648	353.7319317	1820.1098	2443.112074	1877.618324	639.1450311	2014.601633	3912.460961	2109.575618	497.8806096	2667.273142	887.0118382	4515.783044	574.3131969	620.4914319	666.7226266	629.1599669	631.0305607	620.5084735	797.6312585	718.777669	768.8944777	607.171821	672.4726611	684.2335148	734.7996445	738.989294	770.8911797	543.0024685	511.520372	613.9877905	675.5840341	602.6733183	618.4774747
BRDN0007696120	Tmem94	398.2796544	732.9806083	325.6994499	548.856196	555.1967998	768.0693348	1846.840901	1157.92483	495.1615281	1384.67537	431.2408657	2230.919322	1030.620081	5465.50514	1257.87693	3811.59483	651.0284329	1230.945986	942.117416	893.5751012	171.9762732	3751.249221	939.2400944	288.043298	777.6056902	616.4556329	577.2227416	638.6405595	595.0266549	670.8953573	670.3707615	766.249045	808.364451	838.9709364	628.3075489	596.271793	673.9932853	831.2915613	821.2371574	896.6681616	504.9599954	463.9451575	514.4222029	542.2377997	547.0466632	547.9670134
BRDN0007696119	Tmem94	500.8041648	674.1281507	722.1542975	437.8515721	764.2968932	647.475271	909.4995392	762.1783694	1064.936437	2029.241042	1313.423957	856.7078098	649.7684218	1745.539924	1772.462946	440.7801604	1459.028173	3777.380951	1799.061855	200.2515026	928.6718754	628.1799427	1528.374225	737.6062023	1107.683106	582.1536501	590.1112876	577.0411864	645.7653619	655.3383635	628.8188548	720.9191812	809.4061577	738.7226691	618.7003998	626.7521402	553.9033215	754.5850533	778.4061946	836.1204333	446.4607209	376.7818083	419.8057819	478.6078538	468.9849483	514.2946707
