sgRNA	Gene	AR2466_SP	AR2467_SP	AR2468_SP	AR2469_SP	AR2480_SP	AR2481_SP	AR2482_SP	AR2483_SP
BRDN0007693613	Zfp866	152.92961728046552	124.59604608720596	286.09443661986876	237.60352089099408	522.4405917333524	317.5228769037921	181.02649547885704	200.54591457780256
BRDN0007693612	Zfp866	624.0143177474272	749.215698182278	900.1901005757561	944.9519336584362	622.7687615744178	295.5802390689772	470.8614696231973	384.6086032998953
BRDN0007693611	Zfp866	159.84603213234587	141.8099735071489	128.94397143430706	75.5597403599713	56.28165625230495	23.233381236862837	70.29220303168385	50.82327972177188
BRDN0007693610	Zfp866	232.08414280754064	361.4924758188015	249.0230448325055	216.6652795864237	357.26616577550095	993.8724195769103	367.830432302784	186.80989303137773
BRDN0007696303	Zfp787	239.76904819851882	194.27146659649878	99.12567804012355	190.26488837631325	165.17442595785147	251.6949633993474	299.4640430527901	167.57946286638295
BRDN0007696302	Zfp787	494.1394166398962	318.8675126837047	472.2572953781496	608.1193561501304	189.64471128494057	327.8488241201756	446.7887973520727	358.5101623616881
BRDN0007696301	Zfp787	329.6824412729634	279.52139286669234	290.92983554865526	365.9640436711863	315.66668071944946	366.57112618161364	261.9106743098357	157.96424778388558
BRDN0007696300	Zfp787	507.9722463436569	167.22100922230274	479.51039377132935	228.49993771509392	374.39536550446337	198.77448391538204	381.3111287746138	276.09403308313915
BRDN0007696299	Zfp787	719.3071445955565	894.3045150075112	1135.5128484433665	638.1611806306009	1052.2222690648316	396.2582244287162	793.4352780562671	493.1231735166515
BRDN0007696298	Zfp787	262.8237643714533	230.33874309542682	212.75755286660663	287.67322835844493	225.1266250092198	185.8670498949027	464.1211213872824	287.082850320279
BRDN0007694809	Zfp780b	285.10999000529	211.4853940164417	182.1333596509587	186.6234551059532	194.5387683503584	505.9714136027907	245.541257165471	471.14553904237175
BRDN0007694808	Zfp780b	189.81716315716073	168.04072005182383	228.0696494744306	127.45016446260219	375.6188797708178	103.25947216383483	233.02346758448618	226.64435551600974
BRDN0007694807	Zfp780b	222.09376579926902	535.271171677273	250.63484447543433	281.3007201353148	472.2765068128198	170.37812907032747	190.6555643873069	432.6846787123822
BRDN0007694806	Zfp780b	405.7630046436472	501.66302766690825	645.5257569929997	374.15726852949643	553.0284483922138	1120.365272977608	528.6358830738964	631.8569911355423
BRDN0007694805	Zfp780b	299.71131024814855	168.04072005182383	195.0277567943894	272.19713695941465	249.5969103363089	609.2308857666255	167.54579900702726	207.41392535101497
BRDN0007694804	Zfp780b	310.47017779551794	338.54057259221094	485.9575923430447	247.61746238448424	357.26616577550095	687.9662332915495	413.08705617249825	138.7338176188908
BRDN0007696297	Zfp638	252.8333873631817	232.79787558399008	280.4531378696178	467.013816923678	499.1938206726178	231.04306896658042	512.2664659295316	307.68688263991623
BRDN0007696296	Zfp638	275.1196129970184	168.8604308813449	217.59295179539316	166.59557211897285	349.92508017737424	191.03002350309444	337.9803186865895	387.35580760918026
BRDN0007696295	Zfp638	420.36432488650576	474.6125702927122	316.7186298355167	476.11740009957816	761.0258736724712	320.10436370788796	1105.417110690042	611.252958815905
BRDN0007696294	Zfp638	65.32169582331443	189.35320161937221	208.72805375928453	49.159349149860844	178.63308288775048	118.74839298841005	141.54731295421269	67.30650557748167
BRDN0007696293	Zfp638	169.0679186015197	191.8123341079355	297.37703412037064	258.54176219556444	261.83205299985343	89.06129474130753	289.83497414434026	192.30430164994766
