sgRNA	Gene	AR2466_BM	AR2467_BM	AR2468_BM	AR2469_BM	AR2473_BM	AR2474_BM	AR2475_BM	AR2476_BM
BRDN0007694926	Zpld2	326.62276584219785	193.76045494129934	735.7920250567746	191.711661466729	853.1098040255139	268.89210191520283	774.4511644333946	439.72480016149814
BRDN0007694925	Zpld2	293.42210008351293	1391.013921063302	532.31611773439	368.3542840408767	926.0083323140682	561.0342727929984	1552.1091659865963	1012.117993540602
BRDN0007694924	Zpld2	679.2676751168785	231.83565351055032	781.1160423276376	231.89576518027917	324.1029163099239	604.5017930274108	323.89054910050874	1010.4492087202548
BRDN0007693675	Zmiz1	618.2502353441603	975.5711988965858	1310.5391376830364	639.5969841073404	2201.7325773637685	244.63116038901913	136.2905775917982	296.2093056116354
BRDN0007693674	Zmiz1	1329.8212609289485	244.5273863669673	468.66962539658255	407.70121892706123	414.73351904704543	286.07693549624963	86.58460223478946	195.24782398062726
BRDN0007693673	Zmiz1	87.93689849597635	131.99402170673667	256.5146509372242	120.55231114065054	155.64820904853488	146.57652172069328	9.620511359421052	241.97379895035002
BRDN0007693672	Zmiz1	71.7852232620215	267.37250550851786	24.108519824927086	355.79675163039224	260.0704252456532	132.42430583041943	190.8068086285175	72.59213968510501
BRDN0007693671	Zmiz1	95.11542082217849	77.84262818602419	108.00616881567335	167.43376547312576	53.19622334570179	233.51156218951826	94.601695034307	20.85981025434052
BRDN0007693670	Zmiz1	361.61806218243333	356.2146355034368	102.22012405769084	256.1736611738824	154.66309380139225	1861.016389571009	901.1212306657718	238.63622930965553
BRDN0007693669	Zfpm2	243.17244380009785	438.28784130826665	622.9641522761159	235.2444404897417	140.87148034139548	333.58794598502607	782.4682572329122	468.92853451757486
BRDN0007693668	Zfpm2	1947.1741809823334	226.75896036798352	144.65111894956252	454.5826732595364	244.30858129137118	186.00055170074182	663.8152838000525	366.2982680662195
BRDN0007693667	Zfpm2	237.78855205544625	71.91981951969626	335.59059596298505	159.8992460268351	90.63060273712158	306.2943867680694	671.83237659957	257.82725474364884
BRDN0007693666	Zfpm2	112.16441134690861	189.5298773224937	38.57363171988334	99.62309045650983	6.89580672999838	29.315304344138653	40.08546399758771	690.0425232135843
BRDN0007693665	Zfpm2	370.59121509018604	593.973097680315	597.8912916581917	1286.7284876609715	323.11780106278127	217.33760117206245	1462.3177266319997	599.9281429148333
BRDN0007693664	Zfpm2	317.64961293444514	489.9008882576957	268.0867404531892	269.5683624117325	360.55218045420105	347.7401618752999	691.0733993184122	507.3105853855614
BRDN0007693663	Zfp984	58.32549390039247	117.61005780279743	164.90227560250128	281.2887259948513	178.30585973281526	308.3161318952514	452.1640338927894	111.80858296326518
BRDN0007693662	Zfp984	262.91338019715374	296.1404333163964	300.87432741509	154.87623306264132	454.1381289327505	206.21800297256158	28.86153407826315	82.60484860718846
BRDN0007693661	Zfp984	218.9449309491656	602.4342529179264	260.3720141092125	108.83194755753175	96.54129421997733	132.42430583041943	179.58287870919295	166.04408962455054
BRDN0007693660	Zfp984	118.44561838233548	341.8306715994975	51.11006202884542	66.9735061892503	51.22599285141654	661.1106565885062	115.4461363130526	29.203734356076726
