sgRNA	Gene	NoCAR_T_rep1	NoCAR_T_rep2	NoCAR_T_rep3	amCD19_1to10rep1	amCD19_1to10rep2	amCD19_1to10rep3
BRDN0007692088	Mcm2	308.3408491418813	321.16202086739406	289.4472951781678	272.7310982517647	302.28970901436884	272.09680448041996
BRDN0007692087	Mcm2	123.73548638703326	121.43938914048339	155.4801349098942	129.04390890435846	133.62081340490215	135.5350120430771
BRDN0007692086	Mcm2	315.32591692179443	293.0603440414971	265.0007330854171	330.3890149962653	323.099507823329	295.71275354853185
BRDN0007696465	Mc4r	802.2849278643124	803.9086834836958	820.426623832712	634.2370841895065	583.7696192197775	641.7377464160847
BRDN0007694131	Mbtd1	416.1104663176844	431.5614655405608	398.9678933536907	409.09664737764706	414.00547104141816	450.75659308265796
BRDN0007694130	Mbtd1	353.2448562984659	366.32543005187136	361.8091189727097	334.04983510702726	315.4327398410805	318.30192222237804
BRDN0007694129	Mbtd1	602.7115627239363	587.1243193982048	566.1823780681052	536.3101462266246	558.5788101352467	572.9434600002805
BRDN0007694128	Mbtd1	302.35364818767	306.10755113923494	259.13355818315694	291.03519880557445	293.5276884632277	287.49851039440597
BRDN0007694127	Mbtd1	628.6561001921851	550.993592050623	581.8281778074656	555.5294518081248	565.1503255486026	535.979365806714
BRDN0007694126	Mbtd1	181.61176227774237	178.64637410748796	168.1923471981245	181.21059548271614	162.0973801961108	169.41876505384639
BRDN0007695625	Mbd3	513.9014152364688	549.9899607354123	559.337340682135	626.9154439679827	539.9595164640718	563.7024364518888
BRDN0007695624	Mbd3	691.5217102114036	667.4148246150532	613.1197772861865	871.2751863613423	976.9652914522354	919.9952332620992
BRDN0007695623	Mbd3	465.0059407770766	472.71034946419564	521.200703817444	474.991409371362	487.3873931572251	493.8813696418188
BRDN0007695622	Mbd3	614.6859646323587	621.2477841153653	545.6472659101946	695.5558210447691	653.8657836289065	617.0950169537072
BRDN0007695621	Mbd3	350.25125582136025	335.21285928034257	324.6503445917287	475.9066143990525	466.57759434826494	434.3281067744062
BRDN0007695620	Mbd3	232.5029703885383	207.75168224859553	201.43967164426542	261.7486379194789	330.7662758055775	335.75718892489556
BRDN0007692085	Matr3	328.29818565591887	336.2164905955532	346.1633192333493	450.28087362371895	464.38708921047964	416.8728400718887
BRDN0007692084	Matr3	439.0614033088277	432.5650968557714	453.72819244145217	561.0206819742676	519.1497176551117	481.56000491063
BRDN0007692083	Matr3	244.47737229696088	208.75531356380614	234.6869960904063	201.34510609190684	220.14576634742076	189.9543729391611
BRDN0007692082	Matr3	327.300318830217	312.1293390304986	293.3587451130079	359.6755758823609	339.5282963567186	371.6945027241963
BRDN0007692081	Matr3	454.0294056943559	423.5324150188759	421.4587304790213	443.8744384298855	406.3387030591697	463.07795781384675
BRDN0007692080	Matr3	451.03580521725024	463.6776676273002	470.35185466452265	401.7750071561232	374.5763785612831	417.89962046615443
BRDN0007694125	Matn3	720.4598481567582	774.8033753425882	693.3045009504086	651.6259797156257	633.0559848199463	672.5411582440569
BRDN0007694124	Matn3	866.1484047092329	890.2209765918079	888.8769976924139	903.3073623305092	921.1074104387108	911.7809901079733
BRDN0007694123	Matn3	280.4005780222286	286.0349248350228	295.31447008042795	272.7310982517647	290.2419307565498	257.72187896069966
BRDN0007694122	Matn3	766.3617221390447	734.658122734164	728.5075503639696	620.5090087741493	646.199015646658	591.4255070970637
BRDN0007694121	Matn3	589.7392939898117	563.0371678331502	527.0678787197041	607.6961383864824	625.3892168376979	701.2910092834975
BRDN0007694120	Matn3	654.600637660434	613.2187335936806	617.0312272210266	697.38623110015	734.9144737269619	763.9246133337073
BRDN0007694899	Mars1	251.46244007687403	253.91872274828344	278.69080785735747	169.31293012273983	223.4315240540987	188.92759254489536
BRDN0007694898	Mars1	195.5818978375687	206.74805093338492	191.66104680716515	245.27494742105014	255.19384855198527	246.42729462377656
BRDN0007694897	Mars1	479.9739431626048	458.65951105124714	436.12666773467174	362.4211909654323	351.5760746145377	355.26601641594453
BRDN0007694896	Mars1	484.96327729111425	532.9282283768321	444.92743008806195	505.1931752851481	475.33961489940606	419.9531812546859
BRDN0007694895	Mars1	49.89334128509405	68.24692943432123	57.69388653889155	44.8450463568338	41.61959761792035	27.72307064517486
BRDN0007694894	Mars1	186.60109640625177	219.7952580311228	187.74959687232504	268.1550731133123	243.14607029416624	274.1503652689514
BRDN0007694119	Mark2	958.9500194995078	912.3008655264413	938.7479843616252	1135.7694393638926	1144.5389344928094	1153.074382760421
BRDN0007694118	Mark2	624.6646328893776	647.3421983108411	591.6068026445658	872.1903913890328	847.7254883229039	884.0579194627984
BRDN0007694117	Mark2	529.8672844476989	604.1860517567851	582.8060402911757	745.8920975677457	700.96164409129	705.3981308605604
BRDN0007694116	Mark2	1137.5681813001445	1258.5536692741005	1146.0548309081507	1392.0268471172287	1469.8289474539238	1463.1620618286734
BRDN0007694115	Mark2	662.583572266049	643.3276730499987	665.9243514065279	755.0441478446506	860.8685191496155	831.6921193552458
BRDN0007694114	Mark2	359.2320572526772	342.2382784868168	396.0343059025606	457.6025138452428	414.00547104141816	452.8101538711894
BRDN0007694863	Marchf9	679.547308302981	630.2804659522609	684.5037385970184	597.6288830818871	640.7227528021948	620.1753581365043
BRDN0007694862	Marchf9	386.174461546628	385.3944250408729	391.1449934840105	386.2165216853849	398.6719350769212	376.82840469552497
BRDN0007694861	Marchf9	181.61176227774237	200.72626304212127	254.24424576460683	223.3100267564785	211.38374579627964	218.7042239786017
BRDN0007694860	Marchf9	391.1637956751374	343.2419098020274	362.78698145641977	408.18144234995657	414.00547104141816	370.66772232993054
BRDN0007694859	Marchf9	644.6219694034152	647.3421983108411	632.677026960387	715.6903316539598	780.9150816204528	800.8887075272738
BRDN0007694858	Marchf9	588.7414271641098	598.1642638655214	569.1159655192353	477.7370244544335	503.8161816906147	483.6135656991615
BRDN0007692079	Mapk10	670.5665068716642	632.287728582682	665.9243514065279	629.661059051054	658.246793904477	624.2824797135672
BRDN0007692078	Mapk10	797.295593735803	793.8723703315897	754.9098374241403	809.9564495060798	740.3907365714251	906.6470881366446
BRDN0007692077	Mapk10	482.96754363971047	450.6304605295623	485.019791920173	403.6054172115042	417.2912287480961	439.46200874573486
BRDN0007692076	Mapk10	186.60109640625177	222.80615197675462	212.1961589650757	196.76908095345442	186.1929367117489	215.6238827958045
BRDN0007692075	Mapk10	308.3408491418813	329.1910713890789	322.69461962430864	239.78371725490723	210.288493227387	241.29339265244786
BRDN0007692074	Mapk10	332.28965295872644	325.1765461282365	334.42896942882896	283.71355858405053	312.1469821344026	280.31104763454584
BRDN0007692073	Map3k7	684.5366424314905	615.2259962241018	651.2564141508775	611.3569584972444	584.8648717886701	650.9787699644764
BRDN0007692072	Map3k7	636.6390347978002	641.3204104195776	632.677026960387	600.3744981649586	548.721537015213	634.5502836562247
BRDN0007692071	Map3k7	688.528109734298	680.4620317127911	637.5663393789371	702.8774612662929	699.8663915223974	725.9337387458751
BRDN0007692070	Map3k7	455.0272725200578	468.6958242033532	397.0121683862707	522.5820708112673	500.53042398393677	497.9884912188818
BRDN0007692069	Map3k7	461.0144734742691	384.39079372566226	418.52514302789126	466.75456412214766	491.76840343279565	433.30132638014044
BRDN0007692068	Map3k7	464.00807395137474	473.71398077940626	460.5732298274224	444.789643457576	501.6256765528294	425.08708322601456
BRDN0007692067	Map3k6	448.0422047401446	537.9463849528851	533.9129161056743	378.89488146386105	419.4817338858814	412.7657184948257
BRDN0007692066	Map3k6	156.66509163519532	126.45754571653642	123.21067294746331	96.09652790750098	124.85879285376103	141.69569440867153
BRDN0007692065	Map3k6	887.1036080489723	949.4352241892337	926.0357720733949	879.5120316105567	915.6311475942476	853.2545076348263
BRDN0007692064	Map3k6	981.900956490651	993.5950020585004	984.7075210959964	737.6552523185314	765.5815456559558	753.6568093910499
BRDN0007692063	Map3k6	440.0592701345296	393.4234755625577	452.75032995774217	453.02648870679036	509.2924445350779	429.1942048030775
BRDN0007692062	Map3k6	274.4133770680173	255.92598537870464	247.39920837863664	263.57904797485986	245.3365754319515	244.37373383524508
BRDN0007692061	Map2k1	902.0716104345005	843.0503047769095	794.0243367725413	789.821938896889	881.6783179585757	866.6026527602809
BRDN0007692060	Map2k1	952.9628185452965	886.2064513309655	908.4342473666144	972.8629444349862	1043.7756981546866	917.9416724735677
BRDN0007692059	Map2k1	756.3830538820259	742.6871732558487	764.6884622612405	767.8570182323174	801.724880429413	721.8266171688122
BRDN0007692058	Map2k1	332.28965295872644	317.1474956065516	310.9602698197884	353.26914068852744	393.195672232458	364.5070399643362
