sgRNA	Gene	ahEGFRv3_1to10rep1	ahEGFRv3_1to10rep2	ahEGFRv3_1to10rep3	amCD19_1to10rep1	amCD19_1to10rep2	amCD19_1to10rep3
BRDN0007693469	Ufc1	443.0307751160847	431.5792781230844	427.78064314991667	444.79405423828786	461.7882658253138	430.8009487570634
BRDN0007693468	Ufc1	532.468912815576	450.9760996117624	514.2980765959672	501.7718049878206	525.5590263440477	544.1696194826064
BRDN0007693467	Ufc1	565.7482198665496	512.0760873010979	642.1516171329087	475.12092157271655	443.0968360180987	493.6690297957736
BRDN0007693466	Ufc1	681.1858161996138	738.0490576441961	657.5324941899843	730.6018039657827	778.4430766769575	727.6207412021214
BRDN0007693465	Ubr4	301.59372014944734	292.89200447903704	317.2305893021854	384.1403195694304	393.61952182252935	393.69847470143117
BRDN0007693464	Ubr4	393.11181453962445	430.60943704865053	389.32845050722756	444.79405423828786	390.3210342094914	416.37220884653976
BRDN0007693463	Ubr4	436.79090504402717	481.0411729192132	521.0272103084378	613.8893145272237	582.7328116367055	666.8139087220575
BRDN0007693462	Ubr4	564.7082415212066	547.9602070551521	592.1637666974127	544.0456200600545	575.036340539617	557.567735113807
BRDN0007693461	Ubr4	481.50997389377284	485.89037829138266	512.3754669638328	442.0370662987943	452.9922988572126	503.97527258900476
BRDN0007693460	Ubr4	482.5499522391158	559.5982999483589	463.3489213444041	601.9423667894184	642.1055886713887	624.5583132698096
BRDN0007694653	Ubl4a	195.5159289244693	218.21424174762694	208.6031450865886	225.15401505863744	224.297157686581	219.52297149582418
BRDN0007694652	Ubl4a	432.6309916626555	476.1919675470437	454.69717799979907	522.9087125239375	504.6686047948072	555.5064865551607
BRDN0007694651	Ubl4a	995.2592764931762	936.866477903145	838.2577996106232	856.5042532026534	913.6810688115137	940.9599670220069
BRDN0007694650	Ubl4a	606.3073753349234	580.9348035859047	608.5059485705557	645.1351778414836	738.8612253205021	681.2426486325811
BRDN0007694649	Ubl4a	610.4672887162951	594.5125786279792	593.12507151348	619.4032904062108	602.5237373149332	569.9352264656843
BRDN0007694648	Ubl4a	1038.938366997579	981.4791673271043	923.8139282406066	1110.1471436360573	1202.848482887841	1062.5736319821349
