sgRNA	Gene	Input1_DOI_rep1	Input1_DOI_rep2	Input1_DOI_rep3	AR2466_BM	AR2467_BM	AR2468_BM	AR2469_BM
BRDN0007693414	Ttc9c	864.4615019039783	837.6638748194433	886.9534374674548	686.7946727059755	893.9608174081814	2005.9411369710447	1123.2125338292587
BRDN0007693413	Ttc9c	737.2774816125813	756.828365454813	831.2159263697732	946.808321641658	628.1429228379457	266.79017121714895	591.2536565707561
BRDN0007693412	Ttc9c	643.2295279105136	671.7383555973075	656.7332829335526	824.8708862787173	436.821763051725	740.1922795423155	1011.3995214118665
BRDN0007696419	Ttc39d	818.6557627951993	806.9369268153441	706.0084739039668	1217.5811560505413	550.2599728364753	1295.8379744832948	540.4295600173959
BRDN0007696436	Tspan17	406.8914059130901	374.3960433730243	426.1092333916962	817.6980959632501	220.1039891345901	453.3426969554561	188.04915724743248
BRDN0007696177	Tsg101	445.3877185683405	437.7408284891673	421.2624932962456	35.863951577335534	66.03119674037703	659.9546340634737	330.35662759684084
BRDN0007696176	Tsg101	764.5660070390878	729.883195666603	775.8823102800459	147.0422014670757	364.0181358764375	627.859575871937	1787.3140621264977
BRDN0007696175	Tsg101	333.79714137780445	330.4328716133131	360.27434709515927	66.34831041807074	147.30036195930262	94.2792334376391	191.4374303509898
BRDN0007696174	Tsg101	700.2430542480365	666.53841055046	677.3319283392176	719.0722291255775	1606.7591206825077	387.1466394354116	543.8178331209533
BRDN0007696173	Tsg101	403.48034023477675	415.9956037478048	409.14564305761917	337.12114482695404	23.70350652218663	138.4099384510021	25.412048276680064
BRDN0007696172	Tsg101	479.01108025457194	407.9593250390404	410.76122308943604	71.72790315467107	62.6449815229218	40.11882273942089	164.33124552253108
BRDN0007696171	Tsc2	815.7319922137879	832.9366520495819	888.1651224913174	1674.8465386615694	328.46287609315755	988.928980526725	1833.055749024522
BRDN0007696170	Tsc2	799.651254016025	819.7004282939699	836.0626664652239	1228.340341523742	484.2287760960982	886.6259825412018	2492.074867666425
BRDN0007696169	Tsc2	848.3807637062154	842.8638198662909	931.7857833503726	586.375608289436	523.1702510968335	345.0218755590197	792.855906232418
BRDN0007696168	Tsc2	548.6942791115442	612.6480709740398	538.3920456029678	369.398701246556	1022.6369956714802	547.6219303930952	315.1093986308328
BRDN0007696167	Tsc2	1044.273392660781	1028.6436747218447	1046.0880706014152	2146.4575019035315	1655.8592413356087	1135.3626835256114	1658.5596841913189
BRDN0007696166	Tsc2	832.7873206053545	912.8267168602399	864.3353170220188	668.8626969173077	335.235306528068	752.2279263641418	2195.6009711051574
