sgRNA	Gene	amCD19_1to2rep1	amCD19_1to2rep2	amCD19_1to2rep3	amCD19_1to10rep1	amCD19_1to10rep2	amCD19_1to10rep3
BRDN0007693358	Tmem92	559.7888016931583	502.2382710385994	568.5245919817711	599.9880580128238	632.3606689580879	605.5894596349602
BRDN0007696366	Tmem35b	959.558846027936	1019.85118302736	933.6373701489588	946.5052252073957	925.5460700204741	947.0197187763324
BRDN0007693357	Tmem267	167.7705310712433	164.56560128135513	186.2703688302084	195.7180296191564	183.95946733326193	197.6701500292155
BRDN0007693356	Tmem267	95.23607704374207	68.9011687025743	71.42268743489586	94.65052252073957	76.6497780555258	73.67705591998032
BRDN0007693355	Tmem267	612.3901233161554	658.8318362717228	676.5156953833337	843.8334719645596	783.7439806177514	916.4706955899991
BRDN0007693354	Tmem267	692.6763510565194	744.815939363365	659.9456318984378	670.5748883672736	760.7490472010936	787.086597389058
BRDN0007693353	Tmem267	617.9271045396288	551.2093496205944	550.8117654979169	521.3799969362773	388.9976236317935	467.22035461450935
BRDN0007693352	Tmem267	1085.8020179231291	1086.4746271447252	1038.2001845536463	871.1056564196879	883.3886920899349	916.4706955899991
BRDN0007694629	Tmem189	1931.2990507475135	1894.497423747642	1906.7000637619801	1679.6457132070225	1720.7875173465543	1789.8133584463512
BRDN0007694628	Tmem189	1032.6469981777846	1055.1559140981005	1013.059398576563	1206.3931006033247	1002.195848076	1205.7879151782145
BRDN0007694627	Tmem189	1677.1516125900857	1758.4033797814002	1577.0129385625007	1374.8389457673527	1320.292427006432	1442.9920952132732
BRDN0007694626	Tmem189	1048.7042437258574	1130.8902565563021	1225.0419348833339	1100.51285507165	1176.5740931523212	1015.3057706046069
BRDN0007694625	Tmem189	1043.1672625023841	1103.5575615337932	1109.051490489063	1166.2869469928419	1075.0131372287494	1112.3438442553127
BRDN0007694624	Tmem189	1167.749340030535	1156.514658139904	1098.766623498438	1130.993531815617	1222.5639599856365	1198.5999097226068
BRDN0007693351	Tmem185b	692.6763510565194	720.3304000723676	771.3650242968754	830.9995028092051	705.1779581108374	743.958564655411
