sgRNA	Gene	Input2_ACT_rep1	Input2_ACT_rep2	Input2_ACT_rep3	amCD19_1to10rep1	amCD19_1to10rep2	amCD19_1to10rep3
BRDN0007693615	Zfp866	690.6792413502784	727.1216787739359	694.6249254940552	719.4969362939254	650.9850346946225	640.5572149974099
BRDN0007693614	Zfp866	1161.2865419205061	1216.7208235688759	1150.4894518120557	1152.849114015784	1111.43786411277	1017.1384019123137
BRDN0007693613	Zfp866	766.8377888755942	710.2389496430759	726.0265199435137	1278.5543258740329	1186.856862034708	1166.663284952055
BRDN0007693612	Zfp866	1900.2870685971918	1716.2167406129408	1790.9736972208377	2092.330171061645	2123.640204644043	2196.7235903369387
BRDN0007693611	Zfp866	379.7422749020922	431.3828374471469	455.3231195171477	403.57989070279956	379.0797000813198	404.27098007041144
BRDN0007693610	Zfp866	829.3403209825776	849.9580872777793	846.7602365336729	1005.6416948659923	1137.2391002439595	928.5310638146893
BRDN0007696303	Zfp787	471.13253193247124	444.77258813713934	476.979391551257	509.4369112150093	462.43753988977755	515.030152692442
BRDN0007696302	Zfp787	1460.668418399334	1478.694206633945	1384.3771897804359	1144.5790342882676	1113.4225745844	1061.4420709611259
BRDN0007696301	Zfp787	915.4782643905211	992.0058772063945	933.9267314709629	785.6575741140565	783.9606362938289	653.4791184699801
BRDN0007696300	Zfp787	757.3836243552103	766.1266046969573	759.5937415963831	688.0706333293631	670.832139410922	758.7003324609092
BRDN0007696299	Zfp787	1394.4892667566457	1343.6323735870649	1350.2685613267138	1440.647888533354	1379.3737777828128	1264.5005541015153
BRDN0007696298	Zfp787	696.4567863349575	783.5914969012952	749.8484191810339	631.8340911822518	609.3061147903936	539.0279734272152
BRDN0007694809	Zfp780b	629.7524033300257	712.5676019369877	659.4334834386277	810.4678132966056	863.3490551590268	852.8456291896351
BRDN0007694808	Zfp780b	616.0963879116932	583.9095626983649	649.1467542224258	1020.5278383755218	928.844500722815	939.6069810768923
BRDN0007694807	Zfp780b	789.9479688143108	804.5493675465008	788.8297088424306	752.577255203991	686.7098231839616	771.6222359334794
BRDN0007694806	Zfp780b	1493.2327628584346	1499.6520772791505	1481.8304139339277	1652.3619295577735	1748.5299255059829	1810.9124723701993
BRDN0007694805	Zfp780b	914.4278016660339	912.249536139918	788.8297088424306	810.4678132966056	801.8230305384984	707.0127185706283
BRDN0007694804	Zfp780b	1162.3370046449932	1058.9546306563566	1127.208959375388	1124.7308429422283	1155.101494488629	1157.4333539002191
BRDN0007696297	Zfp638	916.5287271150082	815.6104659425814	908.4806118308844	749.2692233129844	760.1441106342695	638.7112287870427
BRDN0007696296	Zfp638	558.8461694271454	521.0359507627483	510.54661320412634	463.1244647409175	516.0247226237861	533.4900147961138
BRDN0007696295	Zfp638	995.8386628137854	1100.8703719467676	1021.6346332091055	822.0459249151286	756.1746896910097	934.0690224457909
BRDN0007696294	Zfp638	439.6186501978578	423.2325544184559	434.2082542838911	367.1915399017274	424.7280409288086	374.7352007045366
BRDN0007696293	Zfp638	555.1695498914405	580.4165842574972	620.9936005780837	401.92587475729624	406.86564668413905	358.12132481123206
BRDN0007696292	Zfp638	429.11402295298666	448.8477296514848	407.67932104210723	309.3009818091128	337.40078017709095	332.2775178660916
BRDN0007696438	Zfp62	1138.1763619817896	1143.9504393841346	1100.1386193327517	1303.364565056582	1270.2147018431658	1318.0341542021633
BRDN0007693609	Zfp60	408.6299998254879	399.9460314793386	422.29730466513104	425.0820979943421	387.0185419678396	457.80458017105957
BRDN0007693608	Zfp60	844.0467991253972	821.4320966773607	853.2571181439057	830.316004642645	839.5325294994674	863.9215464518381
BRDN0007693607	Zfp60	1841.4611560259134	1793.0622663120278	1849.9870385137856	2055.941820260573	2226.8451491688	2071.196528031971
BRDN0007693606	Zfp60	1525.7971073175352	1599.7841259173545	1501.8624655654787	1589.509323628649	1575.8601144741776	1711.2292170103717
BRDN0007693605	Zfp60	774.7162593092477	636.8864023848565	780.7086068296396	679.8005536018468	785.9453467654589	742.0864565676046
BRDN0007693604	Zfp60	716.9408094624563	805.1315306199787	762.3007756006467	782.34954222305	809.7618724250182	854.6916154000023
BRDN0007694803	Zfp592	464.304524223305	531.514886085351	502.9669179921881	165.40159455032767	192.51691574810482	190.1365796678191
BRDN0007694802	Zfp592	555.1695498914405	608.3604117844379	579.3052769124233	261.3345193895177	194.50162621973476	321.20160060388855
BRDN0007694801	Zfp592	940.6893697782118	840.6434781021325	880.8688649873951	415.1580023213225	367.1714372515401	396.88703522894275
BRDN0007694800	Zfp592	482.162390539586	547.2332890692552	550.0693096663758	401.92587475729624	357.2478848933904	330.4315316557244
BRDN0007694799	Zfp592	660.7410537023956	612.4355532987835	580.3880905141287	317.57106153662914	275.8747555565626	337.8154764971931
BRDN0007694798	Zfp592	525.2313622435577	420.9039021245442	470.48250994102415	246.44837587998825	281.82888697145245	262.1300418721389
BRDN0007696291	Zfp36l2	998.4648196250032	1006.5599540433428	964.7869191195686	952.7131846098874	1077.697786095061	902.6872568695488
BRDN0007696290	Zfp36l2	1541.0288168225984	1556.1218954065098	1492.1171431501296	2535.606444456523	2554.3223769877413	2386.860170004758
BRDN0007696289	Zfp36l2	1587.774408062275	1699.3340114820808	1485.0788547390441	3314.6479547885665	3205.3074116823636	3112.332750679058
BRDN0007696288	Zfp36l2	1228.5161562876815	1256.3079125653753	1173.2285374478704	1687.0962644133424	1704.8662951301242	1685.3854100652313
BRDN0007696287	Zfp36l2	1601.9556548428511	1562.525689214767	1616.0993005454052	1971.587007039906	1984.7104716299466	2017.6629279313229
BRDN0007696286	Zfp36l2	859.2785086304605	860.4370226003821	818.0656760884782	1407.5675696232886	1470.6704594777905	1384.4896577753816
BRDN0007694797	Zfp316	1629.7929170417597	1554.9575692595538	1507.8179403748588	1652.3619295577735	1556.013009757878	1450.9451613486
BRDN0007694796	Zfp316	1425.4779171290156	1265.6225217410222	1310.2044580636116	1420.7996971873147	1317.8477531622846	1438.0232578760297
BRDN0007694795	Zfp316	1126.6212720124313	1132.307177914576	1109.342534947248	954.3672005553907	960.5998682688942	1020.8303743330481
BRDN0007694794	Zfp316	2026.3425955356456	1972.9506560167083	2003.2051631551087	2272.617909121502	2314.1724099205176	2176.4177420229
BRDN0007694793	Zfp316	965.9004751659027	970.465843487711	861.3782201566968	666.5684260378206	680.7556917690717	749.4704014090732
BRDN0007694792	Zfp316	591.410513886246	565.862507420549	552.7763436706394	936.1730251548547	895.1044227051059	823.3098498237603
BRDN0007693603	Zfp182	992.6872746403241	915.7425145807856	968.5767667255377	1076.7643805226332	1135.2543897723294	1031.906291595251
BRDN0007693602	Zfp182	586.1582002638104	532.6792122323069	480.22783235637337	471.3945444684339	460.45282941814764	431.96077322591907
BRDN0007693601	Zfp182	784.6956551918752	844.136456543	849.4672705379367	726.1130000759385	730.3734535598204	671.9389805736519
BRDN0007693600	Zfp182	1140.2772874307639	1028.0999877620263	1024.8830740142218	863.3963235527104	783.9606362938289	873.1514775036741
BRDN0007693599	Zfp182	1216.4358349560796	1265.0403586675443	1094.1831445233715	1204.1236083263855	1280.1382542013155	1277.4224575740855
BRDN0007693598	Zfp182	1175.9930200633257	1100.8703719467676	1203.5473182956234	975.8694078469333	839.5325294994674	828.8478084548618
BRDN0007696446	Zfp169	953.8201538343008	1004.813464822909	963.1626987170104	946.0971208278743	887.1655808185861	867.6135188725725
BRDN0007694791	Zdhhc8	1357.7230713995966	1373.3226903344394	1220.330929122058	1804.531396544075	1861.65842238889	1729.6890791140436
BRDN0007694790	Zdhhc8	826.1889328091163	806.2958567669345	873.8305765763096	823.6999408606318	728.3887430881904	775.3142083542137
BRDN0007694789	Zdhhc8	566.7246398607988	525.1110922770938	540.3239872510267	593.7917244356763	458.4681189465177	551.9498768997855
BRDN0007694788	Zdhhc8	1535.2512718379191	1489.7553050300255	1499.6968383620679	1685.4422484678391	1585.7836668323273	1532.1685546047556
BRDN0007694787	Zdhhc8	989.0106551046192	912.831699213396	948.5447150939866	737.6911116944615	664.8780079960321	708.8587047809954
