sgRNA	Gene	Input1_DOI_rep1	Input1_DOI_rep2	Input1_DOI_rep3	ahEGFRv3_1to10rep1	ahEGFRv3_1to10rep2	ahEGFRv3_1to10rep3
BRDN0007691154	Ccl8	848.355987499923	767.8754622636754	799.7492997587491	705.3607209083899	798.7515515085468	717.8684152198814
BRDN0007691153	Ccl8	676.5127942488091	587.779369909464	717.3988768132938	531.2414497521627	517.6174650562632	556.3480217954082
BRDN0007691152	Ccl8	629.2399455477591	695.713671834077	687.8371865251816	795.9738109998959	936.0111348940734	853.2845026363591
BRDN0007691151	Ccl8	967.8157538120356	1007.1812288165316	944.3904272398694	998.5207182632623	983.9693025829923	858.1790600128583
BRDN0007691150	Ccl8	1027.865048107964	1050.9717170259462	1055.7746531468636	1025.1716271137052	1197.3004623026663	1019.6994534373316
BRDN0007693789	Ccdc90b	866.2430113327526	820.3006946270589	849.3707084566516	788.8669019731111	658.184508282405	690.132590086386
BRDN0007693788	Ccdc90b	771.6973139306529	824.6180667040434	746.9605671014059	918.5679917119335	1043.5035797140642	828.8117157538632
BRDN0007693787	Ccdc90b	1148.6024589795645	1022.6004148057622	1057.8862024531572	1169.086534906097	1074.9244481999076	1063.7504698258242
BRDN0007693786	Ccdc90b	791.5008046027143	923.3008570351182	860.4563423146938	671.6029030311622	699.5277562900937	739.0781638513779
BRDN0007693785	Ccdc90b	917.9876159920101	945.50448485961	875.2371874587499	968.316354899427	1103.037856845136	1050.6983168218264
BRDN0007693784	Ccdc90b	1137.1036579441738	1213.1815536326503	1192.4974707293823	1375.1868966828558	1261.7959291946609	1315.0044151527827
BRDN0007693783	Ccdc88c	921.1817273907296	952.9056941344405	1018.2946529601498	1062.4828995043254	1053.4259592359094	1014.8048960608324
BRDN0007693782	Ccdc88c	743.5891336219205	690.162764877954	796.0540884727351	804.8574472833769	816.9425806319298	877.757289518855
BRDN0007693781	Ccdc88c	939.7075735033033	928.8517639912411	969.2011315888207	922.1214462253258	914.5126459300752	1050.6983168218264
BRDN0007693780	Ccdc88c	1245.7034455006399	1246.486995369388	1285.4056402063063	1448.0327142074	1534.6613660454066	1481.4193659537552
BRDN0007693779	Ccdc88c	706.5374413967733	786.3784854507519	789.1915532272805	788.8669019731111	909.5514561691526	822.2856392518642
BRDN0007693778	Ccdc88c	169.28790413213824	203.53325505784167	248.63493081608635	94.1665446048984	143.87450306675686	123.99545353797953
