sgRNA	Gene	Input1_DOI_rep1	Input1_DOI_rep2	Input1_DOI_rep3	AR2480_BM	AR2481_BM	AR2482_BM	AR2483_BM
BRDN0007693439	Ube2d3	479.9616361488568	485.2196798184876	472.1125695848687	558.0423486837658	215.16200418193526	338.8620561349041	155.8775403691695
BRDN0007693438	Ube2d3	384.4076300479885	407.19226206208754	423.95998388334453	156.75346873139486	82.40246968669861	1108.538686149862	98.89005249226884
BRDN0007693437	Ube2d3	626.3608932024807	641.7008946632898	537.2814825643751	294.69652121502236	1947.9028250939034	476.79083275262883	487.74585212288525
BRDN0007693436	Ube2d3	490.04302211362733	504.8331290905881	482.6120055649003	106.59235873734852	199.139301742855	369.51289538328734	58.663590461515405
BRDN0007693435	Uba3	615.8411861088072	560.2624422508723	574.5725827693149	200.64443997618542	258.65219651658174	253.72083600050607	578.2553916920805
BRDN0007693434	Uba3	366.43646376296283	387.15243345798484	420.7015382343692	181.83402372841806	96.13621463448172	93.65534214783781	167.6102584614726
BRDN0007693433	Uba3	596.5550564370723	554.2931316028416	613.3118810404659	259.1657349692395	183.1165993037747	2271.567753185739	799.5009328612243
BRDN0007693432	Uba3	643.8937383586033	614.41261741515	611.1395839411491	1220.5870098551281	144.20432195172256	166.8767914634201	343.60102984601883
BRDN0007693431	Uba3	763.1170854202371	691.1608971755434	703.8242601786693	173.47383872941032	251.7853240426902	265.6406068193218	170.96246363070205
BRDN0007693430	Uba3	583.8437436988834	589.6826161590232	613.6739305570187	1103.54441986902	952.2063163796284	441.03152029618167	786.0921121843064
BRDN0007696189	Txndc9	915.652838278504	907.3352185006516	866.3844931108825	601.9333199285563	4355.886105938541	1978.6819559234098	1746.4988931685443
BRDN0007696188	Txndc9	577.7072478942404	532.121406338728	509.7657193063613	4782.02581943242	276.96385644695926	1122.1612813713657	931.9130370457876
BRDN0007696187	Txndc9	348.02697634903404	354.7476042258187	381.96223996321817	160.93356123089873	109.86995958226481	204.33892832255523	445.8432875075171
BRDN0007696186	Txndc9	531.2452082305155	517.6245090506537	527.1440961008964	1091.0041423705084	4385.642553325404	367.8100709805994	204.48451532299657
BRDN0007696185	Txndc9	605.3214790151336	562.3943389108832	663.2747143247542	1582.1650110622122	2424.005983283718	795.2189960552774	2495.716748491327
BRDN0007696184	Txndc9	658.3583356124045	621.2346867271849	665.0849619075183	1732.6483410443514	677.5314174239663	1254.9815847810266	407.2929280613784
BRDN0007694647	Txndc15	669.7546849638842	670.2683099074362	684.2735862848174	131.6729137343717	551.6387554026213	171.98526467148398	589.9881097843835
BRDN0007694646	Txndc15	848.5897055563349	936.3290130768003	990.9295268050504	386.65855620410736	1865.5003554072048	977.4212071428891	1558.7754036916951
BRDN0007694645	Txndc15	440.0744134186778	463.90071321837826	505.05907559117475	330.2273074608052	395.9896459944128	405.2722078397345	294.99405489219174
BRDN0007694644	Txndc15	855.602843618784	871.9457339444702	828.0072443562843	564.3124874330216	2096.6850620282203	1244.764638364899	1183.3284247379966
BRDN0007694643	Txndc15	472.0718558286016	576.0384775349531	526.7820465843436	660.4546149216104	50.35706480853804	246.90953838975423	1124.664834276481
BRDN0007694642	Txndc15	565.4342562849546	481.8086451624701	558.2803545244383	418.00924995038633	192.27242926896344	136.2259522150368	695.5825726151113
BRDN0007693429	Tulp4	459.79886421931576	480.9558864984657	438.44196454545704	117.04258998610817	357.0773686423607	27.245190443007363	271.5286187075856
BRDN0007693428	Tulp4	585.5970282144956	603.7531341150952	547.0568195113011	589.3930424300447	3824.847967957594	2601.9156873072034	177.66687396916095
BRDN0007693427	Tulp4	570.2557887028883	562.8207182428854	583.9858701996881	994.8620148819194	940.7615289231425	1355.4482245396164	822.9663690458304
BRDN0007693426	Tulp4	640.8254904562818	657.4769299473706	582.5376721334768	321.86712246179746	2675.7913073264076	1416.7499030363829	879.9538569227311
BRDN0007693425	Tulp4	874.0123310327127	876.2095272644921	810.2668180451965	480.7106374429443	1732.740820911968	1333.311507304673	2856.078804183493
BRDN0007693424	Tulp4	813.5240152440897	860.8598713124134	817.1457588596999	499.52105369071165	414.30130592479026	582.3659457192824	509.5351857228767
BRDN0007693423	Tuba1c	352.4101876380647	326.18018898167225	309.19028713610265	252.89559621998373	1558.780051573382	144.74007422847663	221.24554116914382
BRDN0007693422	Tuba1c	799.9360602480947	942.724703056833	848.6440667997947	869.4592398968035	201.42825923415216	2726.221868703424	276.5569264614298
BRDN0007693421	Tuba1c	368.18974827857505	371.3763981739039	301.22519777194077	430.54952744889795	20.600617421674652	306.50839248383284	107.27056541534246
BRDN0007693420	Tuba1c	262.5543562129363	264.35518584135525	295.79445502364854	198.55439372643352	16.022702439080287	136.2259522150368	10.056615507688356
BRDN0007693419	Tuba1c	622.8543241712562	612.280720755139	623.0872179873919	344.8576312090687	123.60370453004792	11.91977081881572	796.1487276919948
BRDN0007693418	Tuba1c	304.1948634587275	324.0482923216613	281.67452387808885	192.2842549771777	9.155829965188735	258.82930920856995	154.2014377845548
BRDN0007696183	Tti1	344.52040731780954	346.22001758577494	352.6362291224403	81.51180374032533	36.62331986075494	590.8800677327222	137.44041193840752
BRDN0007696182	Tti1	385.7225934346977	407.19226206208754	392.46167594324976	438.90971244790563	212.8730466906381	257.126484805882	196.10400239992293
BRDN0007696181	Tti1	564.1192928982454	594.7991681430493	670.8777541723633	183.92406997817	3641.731368653819	204.33892832255523	586.6359046151541
BRDN0007696180	Tti1	341.89048054439115	322.76915432565477	312.0866832685252	33.440739996030906	52.646022299835224	71.51862491289432	117.32718092303081
BRDN0007696179	Tti1	267.37588863087	318.93174033763506	283.1227219443001	0.0	20.600617421674652	8.5141220134398	43.578667199982874
BRDN0007696178	Tti1	511.95907855878056	434.05415997822524	460.16493553862585	1350.169877339748	1400.8419846738764	836.0867817197884	611.7774433843749
BRDN0007693417	Ttc9c	550.0930167733472	651.9339986313423	590.8648110141916	664.6347074211143	100.71412961707608	495.5219011821964	742.5134449843235
BRDN0007693416	Ttc9c	254.22625476377803	295.907256409517	240.0388294745153	209.00462497519317	631.7522675980227	447.84281790693353	55.311385292285955
BRDN0007693415	Ttc9c	654.85176658118	632.7469286912439	613.6739305570187	739.8763724121839	432.6129658551677	405.2722078397345	447.5193900921318
BRDN0007693414	Ttc9c	777.5816826740383	755.5441763078735	795.0607383499782	2194.548562239528	3264.053382589784	672.6156390617443	1979.4771524299913
BRDN0007693413	Ttc9c	663.1798680303382	682.6333105354996	745.09790506569	420.09929620013827	938.4725714318454	1961.6537118965302	377.12308153831333
BRDN0007693412	Ttc9c	578.5838901520466	605.8850307751062	588.6925139148747	50.161109994046356	27.467489895566203	379.7298417994151	1334.1776573533218
BRDN0007696419	Ttc39d	736.3794965571501	727.8295197277314	632.8625549343178	727.3360949136722	215.16200418193526	1265.1985311971544	571.5509813536215
BRDN0007696436	Tspan17	365.9981426340598	337.69243094573125	381.96223996321817	754.5066961604473	1057.498360979299	63.00450289945453	167.6102584614726
BRDN0007696177	Tsg101	400.62551181740196	394.82726143402414	377.6176457645844	14.630323748263521	45.779149825943676	8.5141220134398	15.084923261532534
BRDN0007696176	Tsg101	687.7258512489099	658.3296886113751	695.4971212979545	353.21781620807644	4243.727188864978	578.9602969139065	781.0638044304623
BRDN0007696175	Tsg101	300.2499732985999	298.03915306952797	322.9481687651096	37.62083249553477	141.9153644604254	80.03274692633413	85.48123181535102
BRDN0007696174	Tsg101	629.8674622337053	601.1948581230821	607.1570392590681	424.27938869964214	1327.5953449523665	1054.0483052638474	554.7899555074742
BRDN0007696173	Tsg101	362.9298947317383	375.2138121619236	366.756160268	66.88147999206181	4.5779149825943675	32.353663651071244	25.14153876922089
BRDN0007696172	Tsg101	430.86966971171347	367.96536351788643	368.20435833421124	234.08517997221634	50.35706480853804	66.41015170483045	134.08820676917807
BRDN0007696171	Tsc2	733.7495697837318	751.2803829878516	796.1468868996367	925.8904886401057	377.67798606403534	2028.0638636013607	1468.2658641225
BRDN0007696170	Tsc2	719.2849725299307	739.3417616917903	749.4424992643238	2117.216850998707	830.8915693408777	2962.9144606770506	1689.5114052916438
BRDN0007696169	Tsc2	763.1170854202371	760.2343489598975	835.2482346873405	5921.101025547222	590.5510327546734	485.30495476606865	1295.6272979071832
BRDN0007696168	Tsc2	493.54959114485183	552.587614274833	482.6120055649003	244.53541122097602	650.0639275284002	1237.9533407541471	534.6767244920976
BRDN0007696167	Tsc2	939.3221792392695	927.8014264367565	937.7082478717867	4033.7892620212283	7308.641269711908	1682.3905098557047	2002.9425886145975
BRDN0007696166	Tsc2	749.0908092953391	823.338490096221	774.7859654230207	5787.338065563099	5550.721916395671	7041.178905114715	1040.8597050457447
BRDN0007696165	Tsc1	652.6601609366646	648.5229639753247	704.1863096952221	3402.595294596145	389.1227735205212	2225.591494313164	1235.287604861053
BRDN0007696164	Tsc1	676.7678230263332	655.771412619362	680.6530911192892	938.4307661386173	2030.305294780602	2530.3970623943087	1401.221760737911
BRDN0007696163	Tsc1	595.6784141792662	652.3603779633445	642.6378918812438	3527.9980695812606	3399.1018745763176	1489.9713523519652	2509.1255691682445
BRDN0007696162	Tsc1	460.6755064771219	453.6676092503258	462.69928215449556	409.6490649513786	563.0835428591072	156.65984504729235	432.4344668305993
BRDN0007696161	Tsc1	676.3295018974302	663.4462405954013	631.7764063846594	326.04721496130134	132.75953449523666	1142.5951742036214	2976.7581902757533
